1,NN,166,712,1344,Ben Nevis,56.796088,-5.004712
2,NN,989,989,1309,Ben Macdui,57.069993,-3.6690657
3,NN,953,999,1296,Braeriach,57.078168,-3.7288277
4,NN,963,972,1291,Cairn Toul,57.05415,-3.7112231
5,NN,954,976,1258,Sgor an Lochan Uaine (The Angel's Peak),57.057539,-3.7262195
6,NJ,5,40,1244,Cairn Gorm,57.116137,-3.6447166
7,NN,196,715,1234,Aonach Beag,56.799952,-4.955875
8,NN,192,729,1221,Aonach Mor,56.812357,-4.9634073
9,NN,177,721,1220,Carn Mor Dearg,56.804595,-4.9873704
10,NN,635,414,1214,Ben Lawers,56.544702,-4.2217107
11,NJ,92,6,1197,Beinn a' Bhuird,57.087407,-3.4998747
12,NH,123,262,1183,Carn Eighe,57.287727,-5.1160797
13,NJ,24,16,1182,Beinn Mheadhoin,57.094994,-3.6124189
14,NH,120,253,1181,Mam Sodhail,57.279531,-5.1203653
15,NN,262,738,1177,Stob Choire Claurigh,56.823101,-4.8495136
16,NN,432,244,1174,Ben More (Glen Dochart),56.385789,-4.5413166
17,NJ,131,18,1171,Ben Avon,57.098936,-3.435963
18,NN,434,227,1165,Stob Binnein,56.370597,-4.5370658
19,NN,954,922,1157,Beinn Bhrotain,57.009051,-3.7239721
20,NO,17,980,1155,Derry Cairngorm,57.062518,-3.6225541
21,NO,243,861,1155,Lochnagar,56.959915,-3.2464249
22,NH,57,228,1151,Sgurr nan Ceathreamhnan,57.254474,-5.2227294
23,NN,143,542,1150,Bidean nam Bian,56.642669,-5.0300142
24,NH,160,351,1150,Sgurr na Lapaich,57.369064,-5.0614259
25,NN,496,718,1148,Ben Alder,56.813311,-4.4653344
26,NN,469,746,1132,Geal-Charn,56.837559,-4.5111977
27,NN,212,663,1130,Binnein Mor,56.753916,-4.9260759
28,NN,266,263,1130,Ben Lui (Beinn Laoigh),56.39704,-4.8110989
29,NH,133,344,1129,An Riabhachan,57.361687,-5.1057191
30,NN,418,875,1128,Creag Meagaidh,56.951617,-4.6027428
31,NN,69,304,1126,Ben Cruachan,56.42618,-5.1327995
32,NN,971,733,1121,Carn nan Gabhar,56.839723,-3.6883101
33,NH,94,148,1120,A' Chralaig,57.184277,-5.1553615
34,NN,639,431,1118,An Stuc,56.56008,-4.2161025
35,NN,644,436,1118,Meall Garbh,56.564713,-4.2082354
36,NN,902,989,1118,Sgor Gaoith,57.068,-3.8124757
37,NN,457,741,1116,Aonach Beag,56.832675,-4.5305432
38,NN,239,725,1116,Stob Coire an Laoigh,56.810572,-4.88625
39,NN,308,730,1115,Stob Coire Easain,56.817619,-4.7737085
40,NN,938,942,1113,Monadh Mor,57.026644,-3.7511481
41,NH,164,273,1112,Tom a' Choinich,57.29926,-5.0489777
42,NO,226,845,1110,Carn a' Choire Boidheach,56.945264,-3.2738813
43,NH,203,718,1110,Sgurr Mor,57.699984,-5.0171332
44,NH,129,138,1109,Sgurr nan Conbhairean,57.176748,-5.0967955
45,NN,250,503,1108,Meall a' Bhuiridh,56.611799,-4.8531271
46,NN,316,736,1105,Stob a' Choire Mheadhoin,56.823293,-4.7610153
47,NN,625,404,1103,Beinn Ghlas,56.535434,-4.2374315
48,NN,449,733,1102,Beinn Eibhinn,56.825229,-4.5431533
49,NH,95,171,1102,Mullach Fraoch-choire,57.204948,-5.1554702
50,NN,238,506,1100,Creise,56.614041,-4.8728572
51,NN,164,667,1099,Sgurr a' Mhaim,56.755639,-5.004751
52,NN,227,714,1094,Sgurr Choinnich Mor,56.800247,-4.9051141
53,NH,184,715,1093,Sgurr nan Clach Geala,57.69653,-5.0487387
54,NJ,41,63,1090,Bynack More,57.137555,-3.5861779
55,NN,230,455,1090,Stob Ghabhar,56.56798,-4.8823866
56,NN,471,781,1087,Beinn a' Chlachair,56.869037,-4.5100265
57,NH,259,811,1084,Beinn Dearg,57.785613,-4.9300499
58,NJ,45,13,1083,Beinn a' Chaorainn,57.092741,-3.5776613
59,NN,713,547,1083,Schiehallion,56.666309,-4.10157
60,NH,259,430,1083,Sgurr a' Choire Ghlais,57.443829,-4.9026481
61,NN,373,440,1081,Beinn a' Chreachain,56.559693,-4.6489979
62,NN,413,383,1078,Beinn Heasgarnich,56.509906,-4.5805037
63,NN,125,427,1078,Ben Starav,56.538785,-5.05099
64,NN,325,378,1076,Beinn Dorain,56.502368,-4.7230054
65,NN,154,536,1072,Stob Coire Sgreamach,56.637721,-5.0116741
66,NN,945,724,1070,Braigh Coire Chruinn-bhalgain,56.831058,-3.7305333
67,NH,100,332,1069,An Socach,57.34956,-5.1595648
68,NN,615,410,1069,Meall Corranaich,56.540526,-4.2539979
